Designator,Mid X,Mid Y,Layer,Rotation
C1,11.94,15.75,Top,270.0
C2, 9.83,15.24,Top,270.0
C3,13.72,12.19,Top,270.0
C4,16.00,11.94,Top,270.0
C5,14.22,20.32,Top,0.0
C6,14.22,18.54,Top,0.0
C7, 7.16,24.13,Top,270.0
C8, 5.41,23.09,Top,270.0
C9,35.05, 9.91,Top,180.0
C10,35.05,20.57,Top,0.0
C11,27.84, 9.65,Top,90.0
C12,18.80,13.46,Top,270.0
C13,27.84,12.45,Top,270.0
C14,19.05,19.56,Top,90.0
D1, 9.78,27.94,Top,0.0
D2,44.45, 7.62,Top,90.0
D3,46.74, 7.62,Top,90.0
D4,44.70,22.61,Top,270.0
D5,46.74,22.61,Top,270.0
F1, 9.91,18.54,Top,180.0
IC1,22.86,11.94,Top,270.0
IC2,14.99,15.49,Top,270.0
IC3,11.43,23.88,Top,270.0
IC4,22.61,19.30,Top,90.0
J1, 2.67,15.24,Top,270.0
L1,16.76,25.91,Top,90.0
LD1,42.42, 9.65,Top,90.0
LD2,42.67,20.83,Top,90.0
LD3,30.23,23.88,Top,180.0
Q1,31.75,12.95,Top,0.0
Q2,38.35,12.95,Top,0.0
Q3,31.75,17.53,Top,180.0
Q4,38.35,17.53,Top,180.0
Q5,35.05,12.95,Top,0.0
Q6,35.05,17.53,Top,180.0
R1, 4.57, 6.99,Top,180.0
R2, 4.57, 8.64,Top,180.0
R3, 8.64,24.13,Top,270.0
R4, 7.87,21.97,Top,180.0
R5,42.42, 6.60,Top,90.0
R6,42.67,23.88,Top,270.0
R7,32.77,24.38,Top,270.0
R8,24.38,23.88,Top,180.0
R9,21.59,23.88,Top,0.0
R10,31.75,10.16,Top,180.0
R11,29.46,12.45,Top,90.0
R12,38.35,10.16,Top,180.0
R13,31.75,20.32,Top,0.0
R14,29.51,20.93,Top,270.0
R15,38.35,20.32,Top,0.0
R16,19.05,16.76,Top,90.0
R17,26.42,18.80,Top,90.0
S1,38.10,24.64,Top,0.0
S2,12.70, 4.83,Top,0.0
S3,24.13, 4.83,Top,0.0
S4,35.56, 4.83,Top,0.0
